Word                     [ 0] Likelihood      [ 1] Likelihood      [ 2] Likelihood      
chợ_mua                [0] 1.000000       [46] 1.563191       [92] 1.000000       
chợ                    [1] 1.000000       [47] 1.563191       [93] 1.000000       
chậm_Phòng            [2] 1.450553       [48] 1.000000       [94] 1.000000       
chậm                   [3] 1.450553       [49] 1.000000       [95] 1.000000       
Cười_vui              [4] 1.000000       [50] 1.000000       [96] 1.563191       
Cười                  [5] 1.000000       [51] 1.000000       [97] 1.563191       
đi_chợ                [6] 1.000000       [52] 1.563191       [98] 1.000000       
đi                      [7] 1.000000       [53] 1.563191       [99] 1.000000       
đổi                   [8] 1.000000       [54] 1.563191       [100] 1.000000       
dịch_vụ              [9] 1.450553       [55] 1.000000       [101] 1.000000       
dơ                      [10] 1.450553       [56] 1.000000       [102] 1.000000       
dịch                   [11] 1.450553       [57] 1.000000       [103] 1.000000       
dụng_hay               [12] 1.563191       [58] 1.000000       [104] 1.000000       
dụng                   [13] 1.563191       [59] 1.000000       [105] 1.000000       
hay_lỗi                [14] 1.563191       [60] 1.000000       [106] 1.000000       
hay                      [15] 1.563191       [61] 1.000000       [107] 1.000000       
lỗi                    [16] 1.563191       [62] 1.000000       [108] 1.000000       
mua_trái                [17] 1.000000       [63] 1.563191       [109] 1.000000       
mua                      [18] 1.000000       [64] 1.563191       [110] 1.000000       
món_ngon                [19] 1.000000       [65] 1.000000       [111] 1.450553       
món                     [20] 1.000000       [66] 1.000000       [112] 1.450553       
Nhân_viên              [21] 1.000000       [67] 1.000000       [113] 1.450553       
ngon_Nhân               [22] 1.000000       [68] 1.000000       [114] 1.450553       
Nhân                    [23] 1.000000       [69] 1.000000       [115] 1.450553       
ngon                     [24] 1.000000       [70] 1.000000       [116] 1.450553       
Phòng_dơ               [25] 1.450553       [71] 1.000000       [117] 1.000000       
Phòng                   [26] 1.450553       [72] 1.000000       [118] 1.000000       
phim_Cười             [27] 1.000000       [73] 1.000000       [119] 1.563191       
phim                     [28] 1.000000       [74] 1.000000       [120] 1.563191       
trái                    [29] 1.000000       [75] 1.563191       [121] 1.000000       
thay_đổi              [30] 1.000000       [76] 1.563191       [122] 1.000000       
tiết_thay              [31] 1.000000       [77] 1.563191       [123] 1.000000       
thời_tiết            [32] 1.000000       [78] 1.563191       [124] 1.000000       
thay                     [33] 1.000000       [79] 1.563191       [125] 1.000000       
tiết                   [34] 1.000000       [80] 1.563191       [126] 1.000000       
thời                   [35] 1.000000       [81] 1.563191       [127] 1.000000       
tốt                    [36] 1.000000       [82] 1.000000       [128] 1.450553       
thích_phim              [37] 1.000000       [83] 1.000000       [129] 1.563191       
thích                   [38] 1.000000       [84] 1.000000       [130] 1.563191       
ứng_dụng             [39] 1.563191       [85] 1.000000       [131] 1.000000       
ứng                    [40] 1.563191       [86] 1.000000       [132] 1.000000       
vụ_chậm              [41] 1.450553       [87] 1.000000       [133] 1.000000       
vụ                     [42] 1.450553       [88] 1.000000       [134] 1.000000       
viên_tốt              [43] 1.000000       [89] 1.000000       [135] 1.450553       
viên                    [44] 1.000000       [90] 1.000000       [136] 1.450553       
vui                      [45] 1.000000       [91] 1.000000       [137] 1.563191       
